target;Area Name;Type;State;Region;CDU 2005;SPD 2005;FDP 2005;GREEN 2005;LEFT 2005;Non-Voters 2005;CDU 2009;SPD 2009;FDP 2009;GREEN 2009;LEFT 2009;Non-Voters 2009;Pop. density;Elderly pop.;Old pop.;Mid-aged pop.;Young pop.;Children pop.;Migration balance;Social welfare;Poor elderly inh.;Poor child.;High-school degree;No school degree;Child care;Business Regstr.;Income;Employees;GPD;Unemployed;Unemployed Youth;Permanently unemployed ;Agricult. workf.;Ind. workf.;Service workf.;Pub. serv. workf.;Cars;Tractors;Registrd. Web Doms.;Bankruptcies
1;Potsdam-Mittelmark;Rural;Brandenburg;East;22;36.6;8.4;6.9;21.9;21.6;24.8;26.7;11;8.1;23.4;28.4;79.4;20.6;31.6;25.1;7.5;15.2;4;0.3;26.3;5.6;55.9;6.7;18;103;18075;37.2;17088;8.3;9.5;38;3.6;24.9;34;21.8;548;3;0.108;78.3
1;Prignitz;Rural;Brandenburg;East;23.3;36.1;6.3;3.5;26.9;26.5;24.2;29.4;8.6;3.5;28.5;35.5;39.1;25.7;32.4;21.9;8.1;11.9;-7;0.4;13.7;17.4;45.8;10.8;19;80.8;15738;33.4;18168;15;12.5;40;2.2;15.4;12.6;10.4;532;5;0.046;88.5
1;Spree-Neisse;Rural;Brandenburg;East;21.7;33.4;7.4;3.6;27.6;25.6;25.9;23.4;9.3;4.3;28.4;33.2;78;23.8;33.2;23.3;7.9;11.8;-11;0.4;10.5;9.1;58.3;6.2;19;79.9;16062;34.8;28401;14.3;12.1;13;1.6;24.1;14.5;12.5;559;3;0.064;63.1
1;Teltow-Flaeming;Rural;Brandenburg;East;21;37.2;7.6;5.1;24.3;24.7;23.3;26.3;10.5;6.1;26.6;32.2;77.4;21.1;30.4;26;8.2;14.3;2;0.3;12.4;7.7;45.1;9.7;20;87.5;17322;38.4;20020;10.5;11.5;36;2;35;27.3;16.7;549;3;0.092;92.9
1;Uckermark;Rural;Brandenburg;East;21.9;35.9;5.2;3.3;28.6;28.6;24.6;26.6;7.7;3.9;30.4;36.5;42.9;23.7;32.8;22.9;8;12.6;-8;0.3;15.8;11.3;42;10.9;18;63.6;14807;32.3;19237;19.4;18.8;7;3;19.6;18.5;18;513;4;0.051;78.7
1;Greifswald;Urban;Mecklenburg-Vorpommern;East;30.4;28.8;7.2;6.2;23.5;30.1;32.8;13.7;10.4;9.8;26.4;36.2;1076.3;19.3;26.1;28.2;14.5;11.9;5;0.5;18.6;4.8;46.5;7.8;23;75.3;14772;34.2;;14.5;14.1;37;;;;;400;1;0.111;58.5
1;Neubrandenburg;Urban;Mecklenburg-Vorpommern;East;23.8;33.5;5.6;3.8;29.3;27.4;30.3;17.4;8.1;5;33.9;35.6;760.4;21.8;31.3;24.3;10.3;12.2;-10;0.5;7.5;10.6;50.7;9.6;21;76.8;15711;35.6;;15.7;15.5;33;;;;;461;1;0.077;235.3
1;Rostock;Urban;Mecklenburg-Vorpommern;East;21.5;39.9;5.2;5.8;24.2;28.4;25.8;18.5;9.1;9;31.5;34.5;1111.3;23.2;26.7;27.2;11.5;11.5;2;0.6;14.6;8.7;53;11.5;23;92.2;15251;33.4;27545;13.7;12.6;36;0.1;21.3;48.5;44;376;1;0.098;66.3
1;Schwerin;Urban;Mecklenburg-Vorpommern;East;22.6;38.5;5.8;6.1;23.3;28.2;29;21;8.7;7.4;29;34.2;728.1;23.9;29.2;25.4;9.3;12.2;-2;0.8;14.5;10.8;48;10.1;20;85.8;15607;33.4;29490;14;13;32;0.1;11.7;28.8;28.1;422;1;0.123;100.5
1;Stralsund;Urban;Mecklenburg-Vorpommern;East;31.7;27.7;7.5;3.9;23.3;29.6;38.2;13.5;9.8;5.2;27.7;39.2;1479.6;25.3;28;24.9;9.8;12;2;0.6;12.1;6.7;49.9;7.5;22;69.3;15070;31.1;;16.2;16.4;31;;;;;414;1;0.086;65.7
1;Wismar;Urban;Mecklenburg-Vorpommern;East;22.9;41.9;5.9;5.1;20.3;30.1;28.4;21.4;8.7;6.1;30.2;38.2;1068.2;24.9;28.3;25.6;9.9;11.3;-1;0.5;16.3;14.2;43.2;21.1;19;76.9;15087;32.2;;15.7;14;37;;;;;413;1;0.092;78
1;Bad Doberan;Rural;Mecklenburg-Vorpommern;East;30;34.1;6.3;4.1;21.6;24.9;33.6;16.8;11.3;5.7;27.4;31.9;86.2;19.4;34;24.8;7.6;14.1;-3;0.4;20.8;7.9;39.5;10.7;20;111.9;16177;37.9;;9.5;9.1;29;;;;;560;3;0.147;56.2
1;Demmin;Rural;Mecklenburg-Vorpommern;East;37;23.8;6.2;2.5;25.4;30.8;37.9;12.3;9.7;3.3;30.6;41.6;42;23;32.5;23.3;7.7;13.4;-11;0.6;21.7;7;35.8;14.4;22;52.9;14361;31.8;;19.7;13.4;38;;;;;506;5;0.037;217.1
1;Guestrow;Rural;Mecklenburg-Vorpommern;East;31.4;29.8;6.2;3.6;24;30.3;35.1;17.5;9.7;4.6;27.7;40.6;48.5;22.5;31.5;24;8.2;13.7;-9;0.4;18;5.9;35.8;15.7;21;71.7;14853;33.4;;15.6;12.7;25;;;;;496;4;0.072;62.6
1;Ludwigslust;Rural;Mecklenburg-Vorpommern;East;28;36.3;6;3.5;20.9;26.5;32.4;20.3;10.3;4.5;26.4;34.4;49.1;20.1;32;25.5;8.3;14.1;-6;0.5;19.4;7.5;37.4;11.1;19;71.1;16148;40.4;;10.1;10.3;30;;;;;554;4;0.062;65.2
1;Mecklenburg-Strelitz;Rural;Mecklenburg-Vorpommern;East;30.4;29.6;6.2;3.4;25.2;27.2;34.3;15.8;8.9;4.4;30.4;35.8;37.6;22.1;33.6;23.6;7.6;13;-10;0.5;19.6;6.6;44.7;12.9;20;65.8;15051;33.7;;15.7;12;30;;;;;544;3;0.057;201.4
